# Namespace(base_learning_rate=0.1, batch_size=32, cudnn_workspace_limit_mb=64, db_type='lmdb', epoch_size=49984, file_store_path='/tmp', gpus='0', image_size=227, load_model_path=None, num_channels=3, num_epochs=1000000, num_gpus=1, num_labels=1000, num_shards=1, redis_host=None, redis_port=6379, run_id=None, save_model_name='resnet50_model', shard_id=0, test_data=None, train_data='/mnt/nas101/hiroki11x/ilsvrc12_train_lmdb', weight_decay=0.0001)
time_spent,cumulative_time_spent,input_count,cumulative_input_count,cumulative_batch_count,inputs_per_sec,accuracy,epoch,learning_rate,loss,test_accuracy
471.908070803,16472.7937329,49984,1699456,54669,105.918934412,0.34375,34,0.0100000007078,2.53639245033,-1
473.01158905,16945.8053238,49984,1749440,56231,105.671829522,0.40625,35,0.0100000007078,2.69370746613,-1
472.12323308,17417.9285579,49984,1799424,57793,105.870663627,0.4375,36,0.0100000007078,2.64340996742,-1
472.329428196,17890.257988,49984,1849408,59355,105.824445855,0.21875,37,0.0100000007078,3.62823319435,-1
472.059421062,18362.3174109,49984,1899392,60917,105.884975005,0.3125,38,0.0100000007078,3.03671646118,-1
471.387603998,18833.705019,49984,1949376,62479,106.035881249,0.59375,39,0.0100000007078,1.82977640629,-1
472.595778942,19306.3007989,49984,1999360,64041,105.764804146,0.40625,40,0.0100000007078,2.49360918999,-1
471.287444115,19777.588248,49984,2049344,65603,106.058416417,0.46875,41,0.0100000007078,2.68598151207,-1
470.558856964,20248.14711,49984,2099328,67165,106.222631367,0.375,42,0.0100000007078,2.60859870911,-1
472.115013123,20720.2621229,49984,2149312,68727,105.872506933,0.5625,43,0.0100000007078,2.38051462173,-1
471.842349052,21192.104475,49984,2199296,70289,105.933687598,0.34375,44,0.0100000007078,2.84985494614,-1
470.96270299,21663.0671809,49984,2249280,71851,106.131546474,0.53125,45,0.0100000007078,2.59575152397,-1
470.274790049,22133.3419769,49984,2299264,73413,106.286794567,0.375,46,0.0100000007078,2.68988132477,-1
470.335679054,22603.6776679,49984,2349248,74975,106.273034826,0.40625,47,0.0100000007078,2.57423019409,-1
470.287122011,23073.964782,49984,2399232,76537,106.284007494,0.53125,48,0.0100000007078,2.19813680649,-1
470.849130154,23544.8139169,49984,2449216,78099,106.157146311,0.5,49,0.0100000007078,2.34607577324,-1
470.224354982,24015.038271,49984,2499200,79661,106.298194618,0.40625,50,0.0100000007078,2.56396889687,-1
470.043203115,24485.0814779,49984,2549184,81223,106.339161313,0.625,51,0.0100000007078,1.73146247864,-1
471.196295023,24956.277777,49984,2599168,82785,106.078932555,0.46875,52,0.0100000007078,2.09853243828,-1
472.548630953,25428.826411,49984,2649152,84347,105.775356706,0.53125,53,0.0100000007078,2.39760661125,-1
471.415296793,25900.241715,49984,2699136,85909,106.029652283,0.5625,54,0.0100000007078,2.08211827278,-1
470.771118164,26371.0128419,49984,2749120,87471,106.174737726,0.34375,55,0.0100000007078,3.12502479553,-1
471.234878778,26842.2477179,49984,2799104,89033,106.070247027,0.4375,56,0.0100000007078,2.1476585865,-1
469.514033079,27311.7617509,49984,2849088,90595,106.459011826,0.46875,57,0.0100000007078,2.37696909904,-1
470.496016979,27782.2577729,49984,2899072,92157,106.236818583,0.5,58,0.0100000007078,2.49454212189,-1
470.725923061,28252.983706,49984,2949056,93719,106.184931722,0.40625,59,0.0010000000475,2.46548223495,-1
470.840477943,28723.824183,49984,2999040,95281,106.159097065,0.625,60,0.0010000000475,2.10981035233,-1
471.004788876,29194.8289719,49984,3049024,96843,106.122063258,0.53125,61,0.0010000000475,2.39277768135,-1
470.632512093,29665.461488,49984,3099008,98405,106.206007268,0.5625,62,0.0010000000475,2.15050363541,-1
469.335325956,30134.7968171,49984,3148992,99967,106.499547841,0.625,63,0.0010000000475,1.84358918667,-1
469.875730038,30604.672549,49984,3198976,101529,106.37706271,0.5625,64,0.0010000000475,1.9277780056,-1
471.132710934,31075.805263,49984,3248960,103091,106.093248972,0.5625,65,0.0010000000475,1.7740997076,-1
473.695821047,31549.501087,49984,3298944,104653,105.519191386,0.5625,66,0.0010000000475,1.80260372162,-1
471.669276953,32021.170368,49984,3348928,106215,105.972558406,0.40625,67,0.0010000000475,2.69261884689,-1
471.782328844,32492.952697,49984,3398912,107777,105.947164495,0.53125,68,0.0010000000475,2.30877661705,-1
471.062543869,32964.0152431,49984,3448896,109339,106.109052079,0.5625,69,0.0010000000475,2.13581252098,-1
470.933781862,33434.949028,49984,3498880,110901,106.138064257,0.65625,70,0.0010000000475,1.93255984783,-1
471.938414097,33906.8874469,49984,3548864,112463,105.912124351,0.40625,71,0.0010000000475,2.38694119453,-1
471.44831109,34378.3357599,49984,3598848,114025,106.022227303,0.65625,72,0.0010000000475,1.5285179615,-1
472.810737133,34851.1464989,49984,3648832,115587,105.716719343,0.53125,73,0.0010000000475,1.75546514988,-1
471.405308008,35322.5518119,49984,3698816,117149,106.031898986,0.5,74,0.0010000000475,2.07084989548,-1
471.448719025,35794.0005319,49984,3748800,118711,106.022135564,0.4375,75,0.0010000000475,2.13929724693,-1
470.649119139,36264.649658,49984,3798784,120273,106.202259746,0.5,76,0.0010000000475,2.12868523598,-1
471.259101152,36735.9087589,49984,3848768,121835,106.064795094,0.59375,77,0.0010000000475,1.81662583351,-1
471.256917953,37207.165679,49984,3898752,123397,106.065286462,0.5,78,0.0010000000475,2.06989908218,-1
472.307657957,37679.4733469,49984,3948736,124959,105.829323658,0.625,79,0.0010000000475,1.70273923874,-1
471.657124996,38151.1304679,49984,3998720,126521,105.975288724,0.65625,80,0.0010000000475,1.48939335346,-1
470.408092976,38621.5385649,49984,4048704,128083,106.256675313,0.625,81,0.0010000000475,1.47519087791,-1
470.661731005,39092.200299,49984,4098688,129645,106.199413947,0.6875,82,0.0010000000475,1.40617871284,-1
472.293533802,39564.493835,49984,4148672,131207,105.832488532,0.75,83,0.0010000000475,1.21407842636,-1
472.099611998,40036.5934498,49984,4198656,132769,105.875960771,0.59375,84,0.0010000000475,1.95240700245,-1
471.812245846,40508.4057,49984,4248640,134331,105.940446523,0.5,85,0.0010000000475,1.61798346043,-1
472.176118851,40980.58183,49984,4298624,135893,105.858805654,0.625,86,0.0010000000475,2.10646176338,-1
473.647922039,41454.229749,49984,4348608,137455,105.529862318,0.46875,87,0.0010000000475,2.4858777523,-1
473.34514904,41927.5749009,49984,4398592,139017,105.597363998,0.65625,88,0.0010000000475,1.87772893906,-1
471.827629089,42399.4025319,49984,4448576,140579,105.936992491,0.375,89,0.00010000000475,2.218998909,-1
471.985463142,42871.388,49984,4498560,142141,105.901566686,0.625,90,0.00010000000475,1.87351191044,-1
471.66014719,43343.0481489,49984,4548544,143703,105.97460968,0.5625,91,0.00010000000475,2.24612498283,-1
